Feature.ID	sample_id	abundance	coupon_id	site	catridge_id	substrate	experiment_type	cartridge_volume	level	Sample Type	Volume Sampled (mL or g)	Date Deployed	Date Sampled	Taxon	Confidence	domain	phylum	class	order	family	genus	species
00893f10c71382d7a46dad5fc3aa0ab7	16.DeMMO1.tube7.12Dec2019	0.20013482767337995	D1T7rep	D1	7	Yates	exp	medium	800	cartridge	0.96	10-Jun-19	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	17.DeMMO1.tube8.12Dec2019	0.16432122693182777	D1T8exp	D1	8	Yates	rep	medium	800	cartridge	0.98	10-Jun-19	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	18.DeMMO1.tube9.12Dec2019	0.1811746861043229	D1T9cont	D1	9	sand	exp	medium	800	cartridge	0.98	10-Jun-19	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	19.DeMMO1.tube10.12Dec2019	0.054773742310609254	D1T10cont	D1	10	sand	rep	large	800	cartridge	0.98	10-Jun-19	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	22.DeMMO3.Tube13.9Dec2019	0.46768349203674053	D3T13exp	D3	13	Poorman	exp	medium	2000	cartridge	1	11-Jun-19	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	23.DeMMO3.Tube14.9Dec2019	0.3160023594842841	D3T14rep	D3	14	Poorman	rep	medium	2000	cartridge	0.97	11-Jun-19	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	24.DeMMO3.Tube15.9Dec2019	0.5751242942613971	D3T15exp	D3	15	Ellison	exp	medium	2000	cartridge	1.02	11-Jun-19	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	25.DeMMO3.Tube16.9Dec2019	0.5856577062442067	D3T16exp	D3	16	Ellison	rep	medium	2000	cartridge	1.01	11-Jun-19	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	26.DeMMO3.Tube17.9Dec2019	0.6551782253307491	D3T17exp	D3	17	Homestake	exp	medium	2000	cartridge	1.02	11-Jun-19	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	27.DeMMO3.Tube18.9Dec2019	0.31810904188084604	D3T18exp	D3	18	Homestake	rep	medium	2000	cartridge	0.97	11-Jun-19	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	28.DeMMO3.Tube19.9Dec2019	0.13904103817308502	D3T19rep	D3	19	Yates	exp	medium	2000	cartridge	0.95	11-Jun-19	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	29.DeMMO3.Tube20.9Dec2019	0.3328558186567793	D3T20rep	D3	20	Yates	rep	medium	2000	cartridge	1.01	11-Jun-19	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	3.DeMMO3.steri.9Dec2019	0.3644560546052077	D3fluid	D3	NA	fluid	exp	NA	2000	sterivex	1000	NA	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	30.DeMMO3.Tube21.9Dec2019	0.2844021235358557	D3T21cont	D3	21	sand	exp	medium	2000	cartridge	0.96	11-Jun-19	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	31.DeMMO3.Tube22.9Dec2019	0.22752169882868462	D3T22cont	D3	22	sand	rep	large	2000	cartridge	0.95	11-Jun-19	9-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00a9f88a97d26b6d201cdae23b48c4b2	7.DeMMO1.steri2.10June2019	0.010533411982809472	D1fluid	D1	NA	fluid	rep	NA	800	sterivex	1000	NA	10-Jun-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	9.DeMMO3.steri.11June2019	0.5772309766579591	D3fluid	D3	NA	fluid	rep	NA	2000	sterivex	1000	NA	11-Jun-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	1.DeMMO1.steri2.12Dec2019	0.021066823965618944	D1fluid	D1	NA	fluid	exp	NA	800	sterivex	1000	NA	12-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	17.DeMMO1.tube8.12Dec2019	0.016853459172495155	D1T8exp	D1	8	Yates	rep	medium	800	cartridge	0.98	10-Jun-19	12-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	22.DeMMO3.Tube13.9Dec2019	0.12429426139715176	D3T13exp	D3	13	Poorman	exp	medium	2000	cartridge	1	11-Jun-19	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	23.DeMMO3.Tube14.9Dec2019	0.16853459172495155	D3T14rep	D3	14	Poorman	rep	medium	2000	cartridge	0.97	11-Jun-19	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	24.DeMMO3.Tube15.9Dec2019	0.17696132131119913	D3T15exp	D3	15	Ellison	exp	medium	2000	cartridge	1.02	11-Jun-19	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	25.DeMMO3.Tube16.9Dec2019	0.18960141569057049	D3T16exp	D3	16	Ellison	rep	medium	2000	cartridge	1.01	11-Jun-19	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	26.DeMMO3.Tube17.9Dec2019	0.11586753181090417	D3T17exp	D3	17	Homestake	exp	medium	2000	cartridge	1.02	11-Jun-19	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	27.DeMMO3.Tube18.9Dec2019	0.20856155725962755	D3T18exp	D3	18	Homestake	rep	medium	2000	cartridge	0.97	11-Jun-19	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	28.DeMMO3.Tube19.9Dec2019	0.13272099098339935	D3T19rep	D3	19	Yates	exp	medium	2000	cartridge	0.95	11-Jun-19	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	29.DeMMO3.Tube20.9Dec2019	0.09058734305216146	D3T20rep	D3	20	Yates	rep	medium	2000	cartridge	1.01	11-Jun-19	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	3.DeMMO3.steri.9Dec2019	0.42344316170894075	D3fluid	D3	NA	fluid	exp	NA	2000	sterivex	1000	NA	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	30.DeMMO3.Tube21.9Dec2019	0.09058734305216146	D3T21cont	D3	21	sand	exp	medium	2000	cartridge	0.96	11-Jun-19	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00a9f88a97d26b6d201cdae23b48c4b2	31.DeMMO3.Tube22.9Dec2019	0.11586753181090417	D3T22cont	D3	22	sand	rep	large	2000	cartridge	0.95	11-Jun-19	9-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9961371335420635	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00acb8cce391c16994e5f40bf697eba8	10.DeMMO1.tube1.12Dec2019	0.0021066823965618943	D1T1exp	D1	1	Poorman	exp	medium	800	cartridge	0.97	10-Jun-19	12-Dec-19	d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales; f__Iainarchaeales; g__Candidatus_Iainarchaeum; s__Diapherotrites_archaeon	0.9719198703676845	Archaea	Iainarchaeota	Iainarchaeia	 Iainarchaeales	Iainarchaeales	Candidatus_Iainarchaeum	Diapherotrites_archaeon
00ad38bb02398c4a200eafa41c222530	13.DeMMO1.tube4.12Dec2019	0.01896014156905705	D1T4exp	D1	4	Ellison	rep	medium	800	cartridge	0.99	10-Jun-19	12-Dec-19	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Candidatus_Woesebacteria; f__Candidatus_Woesebacteria; g__Candidatus_Woesebacteria; s__metagenome	0.7945617368132583	Bacteria	Patescibacteria	Microgenomatia	 Candidatus_Woesebacteria	Candidatus_Woesebacteria	Candidatus_Woesebacteria	metagenome
00c0beca832f26b29f214e1ab247ffaf	7.DeMMO1.steri2.10June2019	0.023173506362180837	D1fluid	D1	NA	fluid	rep	NA	800	sterivex	1000	NA	10-Jun-19	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011_GWC1_47_15; g__GW2011_GWC1_47_15; s__uncultured_archaeon	0.9995935522422594	Archaea	Nanoarchaeota	Nanoarchaeia	 Woesearchaeales	GW2011_GWC1_47_15	GW2011_GWC1_47_15	uncultured_archaeon
00c29d6a61cc69db691b91ca1efd1a95	16.DeMMO1.tube7.12Dec2019	0.0021066823965618943	D1T7rep	D1	7	Yates	exp	medium	800	cartridge	0.96	10-Jun-19	12-Dec-19	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_archaeon	0.9923692248327627	Archaea	Nanoarchaeota	Nanoarchaeia	 Woesearchaeales	Woesearchaeales	Woesearchaeales	uncultured_archaeon
00dd9b4706c9ea24494a9e5019929079	9.DeMMO3.steri.11June2019	3.427572259206202	D3fluid	D3	NA	fluid	rep	NA	2000	sterivex	1000	NA	11-Jun-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	11.DeMMO1.tube2.12Dec2019	0.04002696553467599	D1T2rep	D1	2	Poorman	rep	medium	800	cartridge	0.94	10-Jun-19	12-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	22.DeMMO3.Tube13.9Dec2019	0.3075756298980366	D3T13exp	D3	13	Poorman	exp	medium	2000	cartridge	1	11-Jun-19	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	23.DeMMO3.Tube14.9Dec2019	0.2696553467599225	D3T14rep	D3	14	Poorman	rep	medium	2000	cartridge	0.97	11-Jun-19	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	24.DeMMO3.Tube15.9Dec2019	0.2633352995702368	D3T15exp	D3	15	Ellison	exp	medium	2000	cartridge	1.02	11-Jun-19	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	25.DeMMO3.Tube16.9Dec2019	0.3370691834499031	D3T16exp	D3	16	Ellison	rep	medium	2000	cartridge	1.01	11-Jun-19	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	26.DeMMO3.Tube17.9Dec2019	0.6193646245891969	D3T17exp	D3	17	Homestake	exp	medium	2000	cartridge	1.02	11-Jun-19	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	27.DeMMO3.Tube18.9Dec2019	0.17696132131119913	D3T18exp	D3	18	Homestake	rep	medium	2000	cartridge	0.97	11-Jun-19	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	28.DeMMO3.Tube19.9Dec2019	0.3939496081570742	D3T19rep	D3	19	Yates	exp	medium	2000	cartridge	0.95	11-Jun-19	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	29.DeMMO3.Tube20.9Dec2019	0.4065897025364456	D3T20rep	D3	20	Yates	rep	medium	2000	cartridge	1.01	11-Jun-19	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	3.DeMMO3.steri.9Dec2019	5.498441055026544	D3fluid	D3	NA	fluid	exp	NA	2000	sterivex	1000	NA	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	30.DeMMO3.Tube21.9Dec2019	0.7626190275554058	D3T21cont	D3	21	sand	exp	medium	2000	cartridge	0.96	11-Jun-19	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
00dd9b4706c9ea24494a9e5019929079	31.DeMMO3.Tube22.9Dec2019	1.3419566866099266	D3T22cont	D3	22	sand	rep	large	2000	cartridge	0.95	11-Jun-19	9-Dec-19	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured	0.943386212012363	Bacteria	Chloroflexi	Anaerolineae	 Anaerolineales	Anaerolineaceae	uncultured	NA
010e636074175fedb7b8fa8665061272	13.DeMMO1.tube4.12Dec2019	0.006320047189685683	D1T4exp	D1	4	Ellison	rep	medium	800	cartridge	0.99	10-Jun-19	12-Dec-19	d__Bacteria	0.9999996632403079	Bacteria	NA	NA	NA	NA	NA	NA
010e636074175fedb7b8fa8665061272	22.DeMMO3.Tube13.9Dec2019	0.012640094379371365	D3T13exp	D3	13	Poorman	exp	medium	2000	cartridge	1	11-Jun-19	9-Dec-19	d__Bacteria	0.9999996632403079	Bacteria	NA	NA	NA	NA	NA	NA
010e636074175fedb7b8fa8665061272	23.DeMMO3.Tube14.9Dec2019	0.004213364793123789	D3T14rep	D3	14	Poorman	rep	medium	2000	cartridge	0.97	11-Jun-19	9-Dec-19	d__Bacteria	0.9999996632403079	Bacteria	NA	NA	NA	NA	NA	NA
010e636074175fedb7b8fa8665061272	24.DeMMO3.Tube15.9Dec2019	0.016853459172495155	D3T15exp	D3	15	Ellison	exp	medium	2000	cartridge	1.02	11-Jun-19	9-Dec-19	d__Bacteria	0.9999996632403079	Bacteria	NA	NA	NA	NA	NA	NA
010e636074175fedb7b8fa8665061272	25.DeMMO3.Tube16.9Dec2019	0.010533411982809472	D3T16exp	D3	16	Ellison	rep	medium	2000	cartridge	1.01	11-Jun-19	9-Dec-19	d__Bacteria	0.9999996632403079	Bacteria	NA	NA	NA	NA	NA	NA
010e636074175fedb7b8fa8665061272	26.DeMMO3.Tube17.9Dec2019	0.01896014156905705	D3T17exp	D3	17	Homestake	exp	medium	2000	cartridge	1.02	11-Jun-19	9-Dec-19	d__Bacteria	0.9999996632403079	Bacteria	NA	NA	NA	NA	NA	NA
010e636074175fedb7b8fa8665061272	27.DeMMO3.Tube18.9Dec2019	0.01474677677593326	D3T18exp	D3	18	Homestake	rep	medium	2000	cartridge	0.97	11-Jun-19	9-Dec-19	d__Bacteria	0.9999996632403079	Bacteria	NA	NA	NA	NA	NA	NA
010e636074175fedb7b8fa8665061272	29.DeMMO3.Tube20.9Dec2019	0.004213364793123789	D3T20rep	D3	20	Yates	rep	medium	2000	cartridge	1.01	11-Jun-19	9-Dec-19	d__Bacteria	0.9999996632403079	Bacteria	NA	NA	NA	NA	NA	NA
010e636074175fedb7b8fa8665061272	31.DeMMO3.Tube22.9Dec2019	0.004213364793123789	D3T22cont	D3	22	sand	rep	large	2000	cartridge	0.95	11-Jun-19	9-Dec-19	d__Bacteria	0.9999996632403079	Bacteria	NA	NA	NA	NA	NA	NA
01142da92724f5965b7333ebed3671c6	1.DeMMO1.steri2.12Dec2019	0.031600235948428416	D1fluid	D1	NA	fluid	exp	NA	800	sterivex	1000	NA	12-Dec-19	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Gallionellaceae; g__Gallionella	0.888809545837192	Bacteria	Proteobacteria	Gammaproteobacteria	 Burkholderiales	Gallionellaceae	Gallionella	NA
01142da92724f5965b7333ebed3671c6	10.DeMMO1.tube1.12Dec2019	0.006320047189685683	D1T1exp	D1	1	Poorman	exp	medium	800	cartridge	0.97	10-Jun-19	12-Dec-19	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Gallionellaceae; g__Gallionella	0.888809545837192	Bacteria	Proteobacteria	Gammaproteobacteria	 Burkholderiales	Gallionellaceae	Gallionella	NA
